cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2010-2245,,,https://github.com/apache/attic-wink/commit/531771e5b2bf2f470fe728efe25e471d3b23659f,svn_952385==git_531771e5b2bf2f470fe728efe25e471d3b23659f
CVE-2010-2245,https://svn.apache.org/viewvc?view=revision&revision=952385,,,svn_952385==git_531771e5b2bf2f470fe728efe25e471d3b23659f
CVE-2011-1772,,,https://github.com/apache/struts/commit/885ab3459e146ff830d1f7257f809f4a3dd4493a,svn_1076372==git_885ab3459e146ff830d1f7257f809f4a3dd4493a
CVE-2011-1772,https://svn.apache.org/viewvc?view=revision&revision=1076372,,,svn_1076372==git_885ab3459e146ff830d1f7257f809f4a3dd4493a
CVE-2011-2730,,,https://github.com/spring-projects/spring-framework/commit/9772eb8410e37cd0bdec0d1b133218446c778beb,
CVE-2011-2732,,,https://github.com/spring-projects/spring-security/commit/f5fbda42e5f494f1a8aa96a0f8b35d60a4f57556,
CVE-2011-2732,,,https://github.com/spring-projects/spring-security/commit/a087e828a63edf0932e4eecf174cf816cbe6a58a,
CVE-2011-2732,,,https://github.com/spring-projects/spring-security/commit/5238ba0e2615ef733a906b264c6c06a4446a886b,
CVE-2011-3923,,,https://github.com/apache/struts/commit/2c1eb6bb57f90db7287fc3ed0086793d0a43fe9e,
CVE-2011-4461,,,https://github.com/eclipse/jetty.project/commit/085c79d7d6cfbccc02821ffdb64968593df3e0bf,
CVE-2011-4838,,,https://github.com/jruby/jruby/commit/f007944b459e7c5e33b8296433d8b9d704bf02cc,
CVE-2011-4838,,,https://github.com/jruby/jruby/commit/cc77504eda2546a36d3ca45d30e9dc3cc7a38bf6,
CVE-2011-4838,,,https://github.com/jruby/jruby/commit/c1c9f95ed29cb93806fbc90e9eaabb9c406581e5,
CVE-2012-0392,,,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892,
CVE-2012-0394,,,https://github.com/apache/struts/commit/b4265d369dc29d57a9f2846a85b26598e83f3892,
CVE-2012-0881,,,https://github.com/apache/xerces2-j/commit/992b5d9c24102ad20330d36c0a71162753a37449,svn_1357381==git_992b5d9c24102ad20330d36c0a71162753a37449
CVE-2012-0881,http://svn.apache.org/viewvc?view=revision&revision=1357381,,,
CVE-2012-1724,http://svn.apache.org/viewvc?view=revision&revision=319059,,,
CVE-2012-2098,http://svn.apache.org/viewvc?view=revision&revision=1340895,,,
CVE-2012-2098,,,https://github.com/apache/commons-compress/commit/8f702469cbf4c451b6dea349290bc4af0f6f76c7,
CVE-2012-2098,,,https://github.com/apache/commons-compress/commit/fdd7459bc5470e90024dbe762249166481cce769,
CVE-2012-2098,,,https://github.com/apache/commons-compress/commit/0600296ab8f8a0bbdfedd483f51b38005eb8e34e,
CVE-2012-2378,http://svn.apache.org/viewvc?view=revision&revision=1337150,,,svn_1337150==git_9bb4612d3352ef3e3292fdce25e3c70b43d63c6f
CVE-2012-2378,,,https://github.com/apache/cxf/commit/9bb4612d3352ef3e3292fdce25e3c70b43d63c6f,svn_1337150==git_9bb4612d3352ef3e3292fdce25e3c70b43d63c6f
CVE-2012-2379,http://svn.apache.org/viewvc?view=revision&revision=1338219,,,svn_1338219==git_440528d928be1e2030e7227b958c9c072847d9b2
CVE-2012-2379,,,https://github.com/apache/cxf/commit/440528d928be1e2030e7227b958c9c072847d9b2,svn_1338219==git_440528d928be1e2030e7227b958c9c072847d9b2
CVE-2012-2379,,,https://github.com/apache/cxf/commit/4500bf901cb2a7312291b6663045f28a95d2a0c4,git_440528d928be1e2030e7227b958c9c072847d9b2==git_4500bf901cb2a7312291b6663045f28a95d2a0c4
CVE-2012-3451,http://svn.apache.org/viewvc?view=revision&revision=1368559,,,git_7230648f96573820d5bfa82c92c637391b448897==svn_1368559
CVE-2012-3451,,,https://github.com/apache/cxf/commit/deeeaa95a861b355068ca6febc7aa02a4a8c51e5,
CVE-2012-3451,,,https://github.com/apache/cxf/commit/878fe37f0b09888a42005fedc725ce497b5a694a,
CVE-2012-3451,,,https://github.com/apache/cxf/commit/7230648f96573820d5bfa82c92c637391b448897,git_7230648f96573820d5bfa82c92c637391b448897==svn_1368559
CVE-2012-3451,,,https://github.com/apache/cxf/commit/9c70abe28fbf2b4c4df0b93ed12295ea5a012554,
CVE-2012-4386,,,https://github.com/apache/struts/commit/a1ca307981b0930d1687ed89f0b7305af79da0f3,git_a1ca307981b0930d1687ed89f0b7305af79da0f3==git_1081c52be93abfd2f33ba8453c676e3edcedec8b
CVE-2012-4386,,,https://github.com/apache/struts/commit/1081c52be93abfd2f33ba8453c676e3edcedec8b,git_a1ca307981b0930d1687ed89f0b7305af79da0f3==git_1081c52be93abfd2f33ba8453c676e3edcedec8b
CVE-2012-4387,,,https://github.com/apache/struts/commit/87935af56a27235e9399308ee1fcfb74f8edcefa,git_87935af56a27235e9399308ee1fcfb74f8edcefa==git_80e03182d66d9e6ab18f9a9a9b3c42725a1c89e9
CVE-2012-4387,,,https://github.com/apache/struts/commit/80e03182d66d9e6ab18f9a9a9b3c42725a1c89e9,git_87935af56a27235e9399308ee1fcfb74f8edcefa==git_80e03182d66d9e6ab18f9a9a9b3c42725a1c89e9
CVE-2012-4449,,,https://github.com/apache/hadoop/commit/2847693311ed09aa9440a6157f1a8c072d50ca2e,
CVE-2012-4449,,,https://github.com/apache/hadoop/commit/38ec8babda50215f984e5f5532ae70918af77378,
CVE-2012-4449,,,https://github.com/apache/hadoop/commit/d6b7f10438677507fbe1adadec28d219889eab5b,
CVE-2012-5055,,,https://github.com/spring-projects/spring-security/commit/f5fc94e1be40f3a62dd5a8687e4cfd5fe2130dea,
CVE-2012-5055,,,https://github.com/spring-projects/spring-security/commit/915b2acf73a75c4e51e67a3c7fd85f908df6259b,
CVE-2012-5055,,,https://github.com/spring-projects/spring-security/commit/c076f0f2e190c73a17379d05935c2c81657adee9,
CVE-2012-5633,http://svn.apache.org/viewvc?view=revision&revision=1420756,,,svn_1420698==svn_1420756
CVE-2012-5633,http://svn.apache.org/viewvc?view=revision&revision=1420698,,,svn_1420698==git_1a6b532d53a7b98018871982049e4b0c80dc837c
CVE-2012-5633,http://svn.apache.org/viewvc?view=revision&revision=1409324,,,git_db11c9115f31e171de4622149f157d8283f6c720==svn_1409324
CVE-2012-5633,http://svn.apache.org/viewvc?view=revision&revision=1409326,,,git_94a98b3fe9c79e2cf3941acbbad216ba54999bc0==svn_1409326
CVE-2012-5633,,,https://github.com/apache/cxf/commit/1a6b532d53a7b98018871982049e4b0c80dc837c,svn_1420698==git_1a6b532d53a7b98018871982049e4b0c80dc837c
CVE-2012-5633,,,https://github.com/apache/cxf/commit/db11c9115f31e171de4622149f157d8283f6c720,git_db11c9115f31e171de4622149f157d8283f6c720==svn_1409324
CVE-2012-5633,,,https://github.com/apache/cxf/commit/d99f96aa970d9f2faa8ed45e278a403af48757ae,git_d99f96aa970d9f2faa8ed45e278a403af48757ae==git_e733c692e933a7f82424d3744aace9304cd5d4f6
CVE-2012-5633,,,https://github.com/apache/cxf/commit/e733c692e933a7f82424d3744aace9304cd5d4f6,git_d99f96aa970d9f2faa8ed45e278a403af48757ae==git_e733c692e933a7f82424d3744aace9304cd5d4f6
CVE-2012-5633,,,https://github.com/apache/cxf/commit/94a98b3fe9c79e2cf3941acbbad216ba54999bc0,git_94a98b3fe9c79e2cf3941acbbad216ba54999bc0==svn_1409326
CVE-2012-5812,,,https://github.com/ACRA/acra/commit/fff732595164baf233d911386a3965dc516cf081,
CVE-2012-6153,http://svn.apache.org/viewvc?view=revision&revision=1411705,,,
CVE-2012-6708,,,https://github.com/jquery/jquery/commit/05531fc4080ae24070930d15ae0cea7ae056457d,
CVE-2013-0248,,,https://github.com/apache/commons-fileupload/commit/7d9e956627a3803c1fc5734e2b18113a033e6f60,git_7d9e956627a3803c1fc5734e2b18113a033e6f60==git_f874563307c1159ac634df67509d9859bca6ddb9
CVE-2013-0248,,,https://github.com/apache/commons-fileupload/commit/f874563307c1159ac634df67509d9859bca6ddb9,git_7d9e956627a3803c1fc5734e2b18113a033e6f60==git_f874563307c1159ac634df67509d9859bca6ddb9
CVE-2013-1879,,,https://github.com/apache/activemq/commit/148ca81dcd8f14cfe2ff37012fd1aa42518f02dc,
