cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2014-0008,,,https://github.com/moodle/moodle/commit/7d238c6bc41610633b39ca929552bcb77b84fe56,
CVE-2014-0008,,,https://github.com/moodle/moodle/commit/914499a340dcdeffc9336eb5fa080d5dc51e6bac,
CVE-2014-0008,,,https://github.com/moodle/moodle/commit/be6128fcd52656589f51f644968894c7148012d5,
CVE-2014-0008,,,https://github.com/moodle/moodle/commit/6537f3525e4abe2fd71d18da1a341de035ba29c5,
CVE-2014-0008,,,https://git.moodle.org/gw?p=moodle.git&a=search&h=HEAD&st=commit&s=MDL-36721,
CVE-2018-12028,,,https://github.com/phusion/passenger/commit/1e7c82deb4901c438f583737d8c9f2aac264737c,
CVE-2012-5134,,http://git.gnome.org/browse/libxml2/commit/?id=6a36fbe3b3e001a8a840b5c1fdd81cefc9947f0d,,
CVE-2018-20222,,,https://github.com/airsonic/airsonic/commit/1a88f46c18066f61e11c6a95dccd3801ec4aec55,
CVE-2018-20222,,,https://github.com/airsonic/airsonic/commit/697daa89796e0eef97e204615b2214f196e34867,
CVE-2019-10010,,,https://github.com/commonmark/commonmark.js/commit/c89b35c5fc99bdf1d2181f7f0c9fcb8a1abc27c8,
CVE-2019-10010,,,https://github.com/thephpleague/commonmark/commit/f1453b9fdb516436d79ff17af555f8d6e2321472,
CVE-2019-10010,,,https://github.com/thephpleague/commonmark/commit/6f16c6eb893f760d3b4f9a03c94c62653c4ac829,
CVE-2019-10010,,,https://github.com/thephpleague/commonmark/commit/edde218c179b6503d153035b3801f14a9ada542b,
CVE-2020-6174,,,https://github.com/theupdateframework/tuf/commit/67a3a7ab9214c4fb466592b8ed2b9dd64d5a8654,git_2977188139d065ff3356c3cb4aec60c582b57e0e==git_a0397c7c820ec1c30ebc793cc9469b61c8d3f50e+git_67a3a7ab9214c4fb466592b8ed2b9dd64d5a8654
CVE-2020-6174,,,https://github.com/theupdateframework/tuf/commit/2977188139d065ff3356c3cb4aec60c582b57e0e,git_2977188139d065ff3356c3cb4aec60c582b57e0e==git_a0397c7c820ec1c30ebc793cc9469b61c8d3f50e+git_67a3a7ab9214c4fb466592b8ed2b9dd64d5a8654
CVE-2020-6174,,,https://github.com/theupdateframework/tuf/commit/a0397c7c820ec1c30ebc793cc9469b61c8d3f50e,git_2977188139d065ff3356c3cb4aec60c582b57e0e==git_a0397c7c820ec1c30ebc793cc9469b61c8d3f50e+git_67a3a7ab9214c4fb466592b8ed2b9dd64d5a8654
CVE-2020-10804,,,https://github.com/phpmyadmin/phpmyadmin/commit/3258978c38bee8cb4b99f249dffac9c8aaea2d80,
CVE-2020-10804,,,https://github.com/phpmyadmin/phpmyadmin/commit/89fbcd7c39e6b3979cdb2f64aa4cd5f4db27eaad,
CVE-2018-8048,,,https://github.com/flavorjones/loofah/commit/f739cf8eac5851f328b8044281d6653f74eff116,git_4a08c25a603654f2fc505a7d2bf0c35a39870ad7==git_f739cf8eac5851f328b8044281d6653f74eff116
CVE-2018-8048,,,https://github.com/flavorjones/loofah/commit/56e95a6696b1e17a242eb8ebbbab64d613c4f1fe,
CVE-2018-8048,,,https://github.com/flavorjones/loofah/commit/4a08c25a603654f2fc505a7d2bf0c35a39870ad7,git_4a08c25a603654f2fc505a7d2bf0c35a39870ad7==git_f739cf8eac5851f328b8044281d6653f74eff116
CVE-2018-16327,,,https://github.com/intelliants/subrion/commit/3aad26b6b17a316a267d31f3ac7840f05b88d0eb,
CVE-2018-16327,,,https://github.com/intelliants/subrion/commit/ec8e6e8984eeebfaf0d8022f4c07aa508624ee18,
CVE-2015-2951,,,https://github.com/F21/jwt/commit/a327cf9052df8f9f97728ca0b5fa78a8231b79b6,
CVE-2015-0279,,,https://github.com/richfaces/richfaces/commit/4c5ddae4d6ddcea591fa949762c1c79ac11cac99,
CVE-2016-6349,,,https://github.com/projectatomic/oci-register-machine/commit/40e9650bf1baa92a6f2513a43cd9440e5aba78e2,
CVE-2015-6941,,,https://github.com/twangboy/salt/commit/c0689e32154c41f59840ae10ffc5fbfa30618710,
CVE-2015-8795,,,https://github.com/blogtohoque/solr/commit/a0c4e5186e62fd3474ba4e7873b5dd6d331417d2,git_a0c4e5186e62fd3474ba4e7873b5dd6d331417d2==svn_1671580
CVE-2015-8795,https://svn.apache.org/r1671580,,,git_a0c4e5186e62fd3474ba4e7873b5dd6d331417d2==svn_1671580
CVE-2015-8795,https://svn.apache.org/r1671582,,,
CVE-2015-8795,https://svn.apache.org/r1671581,,,
CVE-2014-2236,,,https://github.com/ASKBOT/askbot-devel/commit/a676a86b6b7a5737d4da4f59f71e037406f88d29,
CVE-2014-2236,,,https://github.com/ASKBOT/askbot-devel/commit/876e3662ff6b78cc6241338c15e3a0cb49edf4e2,
CVE-2018-10873,,https://gitlab.freedesktop.org/spice/spice-common/commit/bb15d4815ab586b4c4a20f4a565970a44824c42c,,
