cve,svn_commit,other_platform_git_commit,github_commit,equivalent_commit
CVE-2016-8633,,,https://github.com/torvalds/linux/commit/667121ace9dbafb368618dbabcf07901c962ddac,
CVE-2016-8633,,,https://github.com/torvalds/linux/commit/03daa36f089f31002a2d0fb22088d3ebe3e28d98,
CVE-2016-4997,,,https://github.com/torvalds/linux/commit/ce683e5f9d045e5d67d1312a42b359cb2ab2a13c,
CVE-2016-4997,,,https://github.com/torvalds/linux/commit/ddae38d286c30d2c20e39347f7167b3426eee22b,
CVE-2013-1418,,,https://github.com/krb5/krb5/commit/c2ccf4197f697c4ff143b8a786acdd875e70a89d,
CVE-2013-1418,,,https://github.com/krb5/krb5/commit/5d2d9a1abe46a2c1a8614d4672d08d9d30a5f8bf,
CVE-2013-1418,,,https://github.com/krb5/krb5/commit/05c544eef3633b774ca38154ba4c2bf3416b471b,
CVE-2013-1418,,,https://github.com/krb5/krb5/commit/ce16bc3788d0b4c57d7e7ce057e0736633bce962,
CVE-2014-0111,,,https://github.com/apache/syncope/commit/46864183920323eb5e64780919455dd880585d8d,git_46864183920323eb5e64780919455dd880585d8d==svn_1586317
CVE-2014-0111,http://svn.apache.org/viewvc?view=revision&revision=r1586317,,,git_46864183920323eb5e64780919455dd880585d8d==svn_1586317
CVE-2014-0111,http://svn.apache.org/viewvc?view=revision&revision=r1586349,,,
CVE-2017-7376,,https://android.googlesource.com/platform/external/libxml2/+/51e0cb2e5ec18eaf6fb331bc573ff27b743898f4%5E%21/#F0,,
CVE-2017-7376,,https://gitlab.gnome.org/GNOME/libxml2/commit/5dca9eea1bd4263bfa4d037ab2443de1cd730f7e,,
CVE-2018-10911,,,https://github.com/gluster/glusterfs/commit/46fce2e458f09606e7ebeca31d2f04b4d25621d2,
CVE-2018-10911,,,https://github.com/gluster/glusterfs/commit/cc3271ebf3aacdbbc77fdd527375af78ab12ea8d,
CVE-2013-7424,,https://sourceware.org/git/gitweb.cgi?p=glibc.git;a=commitdiff;h=2e96f1c7,,
CVE-2018-18623,,,https://github.com/grafana/grafana/commit/00454b32f5db19f9dee4fa05b5cff5e24941548d,git_00454b32f5db19f9dee4fa05b5cff5e24941548d==git_76f92accdfd5a8e94e8cbac7e221b13a293a0ae0+git_e6972036b07b88922c38b54588fe9d4a866a67ab+git_bfeebe2c2d9497f16af3b90d8e3e4c60c53400d1
CVE-2018-18623,,,https://github.com/grafana/grafana/pull/11813/commits/76f92accdfd5a8e94e8cbac7e221b13a293a0ae0,git_00454b32f5db19f9dee4fa05b5cff5e24941548d==git_76f92accdfd5a8e94e8cbac7e221b13a293a0ae0+git_e6972036b07b88922c38b54588fe9d4a866a67ab+git_bfeebe2c2d9497f16af3b90d8e3e4c60c53400d1
CVE-2018-18623,,,https://github.com/grafana/grafana/pull/11813/commits/e6972036b07b88922c38b54588fe9d4a866a67ab,git_00454b32f5db19f9dee4fa05b5cff5e24941548d==git_76f92accdfd5a8e94e8cbac7e221b13a293a0ae0+git_e6972036b07b88922c38b54588fe9d4a866a67ab+git_bfeebe2c2d9497f16af3b90d8e3e4c60c53400d1
CVE-2018-18623,,,https://github.com/grafana/grafana/pull/11813/commits/bfeebe2c2d9497f16af3b90d8e3e4c60c53400d1,git_00454b32f5db19f9dee4fa05b5cff5e24941548d==git_76f92accdfd5a8e94e8cbac7e221b13a293a0ae0+git_e6972036b07b88922c38b54588fe9d4a866a67ab+git_bfeebe2c2d9497f16af3b90d8e3e4c60c53400d1
CVE-2019-12749,,https://gitlab.freedesktop.org/dbus/dbus/commit/c251e7ea9525c1fc81360bbaf48f86ef6a0ad598,,
CVE-2019-12749,,https://gitlab.freedesktop.org/dbus/dbus/commit/525c2314c56504fb232f9ec7f25cf7dda4d4a1c4,,
CVE-2019-12749,,https://gitlab.freedesktop.org/dbus/dbus/-/commit/2a11ab9bbd21066b1508c8673821ba5c6d627321,,
CVE-2019-12749,,https://gitlab.freedesktop.org/dbus/dbus/-/commit/47b1a4c41004bf494b87370987b222c934b19016,,
CVE-2019-12749,,https://gitlab.freedesktop.org/dbus/dbus/commit/066aea77281d99b237cc1c90ea119a0ad9653281,,
CVE-2015-0228,,,https://github.com/apache/httpd/commit/643f0fcf3b8ab09a68f0ecd2aa37aafeda3e63ef,
CVE-2015-0228,,,https://github.com/apache/httpd/commit/78eb3b9235515652ed141353d98c239237030410,
CVE-2015-0228,,,https://github.com/apache/httpd/commit/52dd3e5e00672ba7e3c41296e53d4f53b0fada6a,
CVE-2013-4342,,,https://github.com/xinetd-org/xinetd/pull/10/commits/91e2401a219121eae15244a6b25d2e79c1af5864,git_e7c1ba41f4f86b436fb82b0d55cd5d387bd4ecc4==git_91e2401a219121eae15244a6b25d2e79c1af5864
CVE-2013-4342,,,https://github.com/xinetd-org/xinetd/commit/e7c1ba41f4f86b436fb82b0d55cd5d387bd4ecc4,git_e7c1ba41f4f86b436fb82b0d55cd5d387bd4ecc4==git_91e2401a219121eae15244a6b25d2e79c1af5864
CVE-2017-7214,,,https://github.com/openstack/nova/commit/d1f121265badfffd097ee983d14989b885375a0e,
CVE-2017-7214,,,https://github.com/openstack/nova/commit/2910d75b28afd909af3b4ac392729ac3d5e64b65,
CVE-2017-7214,,,https://github.com/openstack/nova/commit/3bf177a59cfd0b4e74dba256c3466ba2ea9bfbf7,
CVE-2008-2938,,,https://github.com/apache/tomcat80/commit/468dbb3f3a7c195c932dac49b223b2313f136479,git_468dbb3f3a7c195c932dac49b223b2313f136479==svn_1451933
CVE-2008-2938,https://svn.apache.org/viewvc?view=revision&revision=1451933,,,git_468dbb3f3a7c195c932dac49b223b2313f136479==svn_1451933
CVE-2008-2938,,,https://github.com/apache/tomcat/commit/0dd89ae78868467c532a6f559929b39785dd8793,git_0dd89ae78868467c532a6f559929b39785dd8793==svn_1451933
CVE-2008-2938,,,https://github.com/apache/tomcat/commit/150bc791ac3ba40081425dd1c37a053fbb02b339,git_150bc791ac3ba40081425dd1c37a053fbb02b339==svn_1451933
CVE-2008-2938,https://svn.apache.org/viewvc?view=revision&revision=681065,,,
CVE-2008-2938,https://svn.apache.org/viewvc?view=revision&revision=681029,,,
CVE-2008-2938,https://svn.apache.org/viewvc?view=revision&revision=678137,,,
CVE-2011-1502,,,https://github.com/liferay/liferay-portal/commit/55502ca16019e1ea1a581ee87f4f20cde638c825,
CVE-2011-1502,,,https://github.com/liferay/liferay-portal/commit/ac5a1c86d11bf098dc30bcb71b2ea02fd483088e,
CVE-2011-1502,,,https://github.com/liferay/liferay-portal/commit/f516fff7887e9c8f6a2861b67e5924fab123df90,
CVE-2018-8781,,,https://git.kernel.org/linus/3b82a4db8eaccce735dffd50b4d4e1578099b8e8,
CVE-2018-19607,,,https://github.com/Exiv2/exiv2/commit/6e42c1b55e0fc4f360cc56010b0ffe19aa6062d9,git_6e42c1b55e0fc4f360cc56010b0ffe19aa6062d9==git_923e6d3673beeec6a51e68d6340305a1ff5a39ba+git_f4d9924dfaf6b19a05ccacfd40efb4b2fdbb9c17
CVE-2018-19607,,,https://github.com/Exiv2/exiv2/pull/564/commits/923e6d3673beeec6a51e68d6340305a1ff5a39ba,git_6e42c1b55e0fc4f360cc56010b0ffe19aa6062d9==git_923e6d3673beeec6a51e68d6340305a1ff5a39ba+git_f4d9924dfaf6b19a05ccacfd40efb4b2fdbb9c17
CVE-2018-19607,,,https://github.com/Exiv2/exiv2/pull/564/commits/f4d9924dfaf6b19a05ccacfd40efb4b2fdbb9c17,git_6e42c1b55e0fc4f360cc56010b0ffe19aa6062d9==git_923e6d3673beeec6a51e68d6340305a1ff5a39ba+git_f4d9924dfaf6b19a05ccacfd40efb4b2fdbb9c17
CVE-2018-0778,,,https://github.com/microsoft/ChakraCore/commit/be3b2126b0f309f11c19268fdee828204ae50329,
CVE-2017-11812,,,https://github.com/chakra-core/ChakraCore/commit/8069020cc90eb7cd73df13b04bd754e0b0a89d99,
CVE-2017-12429,,,https://github.com/ImageMagick/ImageMagick/commit/3ac6c73d39d59a7b0285b3756810272121759a31,
CVE-2017-12429,,,https://github.com/ImageMagick/ImageMagick/commit/30a74ed25a4890acfa94f452d653d54c9628c87e,
CVE-2017-14224,,,https://github.com/ImageMagick/ImageMagick/commit/7f2d6fe34d695d3445e2d50937db5541a1b76bde,
CVE-2017-14224,,,https://github.com/ImageMagick/ImageMagick/commit/c6409227c430f114b6425337e64b848535b62e0b,
CVE-2019-14378,,https://gitlab.freedesktop.org/slirp/libslirp/commit/126c04acbabd7ad32c2b018fe10dfac2a3bc1210,,
CVE-2019-14378,,,https://github.com/changlimin/libslirp/commit/c59279437eda91841b9d26079c70b8a540d41204,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/c1d0599a246f646d1c22018f8fa09459270a44b8,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/8bd0c12d53bea6f299e92d20ee0a23b16a7f65bc,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/bbb7c613b3e41495db627909660334695b48e60b,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/0100537150e0f0de97cbe8df4830de645f2c0e56,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/bd6f27f5c353133b563fe69100b2f168c129f3ca,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/b1c86ca6c5ad0785076bb7ec342fb3bd1b5c1ed9,
CVE-2016-8864,,,https://github.com/isc-projects/bind9/commit/7c66fc970082f2f8b4a7ae1bbfca3531ab6798b4,
CVE-2017-12663,,,https://github.com/ImageMagick/ImageMagick/commit/1dc0ac5016f1c4d50b100a086526d6a2453a5444,
CVE-2017-12663,,,https://github.com/ImageMagick/ImageMagick/commit/6233ef75bb973745ab1092b59aea8fe316f09074,
CVE-2018-14884,,,https://github.com/php/php-src/commit/0e097f2c96ce31b16fa371981045f224e5a37160,
CVE-2017-14060,,,https://github.com/ImageMagick/ImageMagick/commit/c535e1f1a6b1faaa35e007df4fc535ec08daa97c,
CVE-2017-14060,,,https://github.com/ImageMagick/ImageMagick/commit/5bdfef29f5e6744f36f25ec04583c6b6f4a13b48,
CVE-2013-4352,http://svn.apache.org/viewvc?view=revision&revision=1523235,,,
CVE-2015-5252,,https://git.samba.org/?p=samba.git;a=commit;h=4278ef25f64d5fdbf432ff1534e275416ec9561e,,
CVE-2019-11235,,,https://github.com/FreeRADIUS/freeradius-server/commit/ab4c767099f263a7cd4109bcdca80ee74210a769,
CVE-2019-11235,,,https://github.com/FreeRADIUS/freeradius-server/commit/85497b5ff37ccb656895b826b88585898c209586,
